Object,Mean_Angular_Error,Median_Angular_Error,Max_Error,Pixels_under_10,Pixels_under_20,Pixels_under_30
ballPNG,2.9387,2.2086,17.0575,97.3909,100.0000,100.0000
bearPNG,4.5025,3.4297,84.4691,92.4889,98.9304,99.7471
buddhaPNG,11.2512,7.3711,117.3675,63.2801,85.6098,93.0969
catPNG,6.2911,4.8565,105.6210,84.3385,97.4226,99.3385
cowPNG,7.5320,6.1526,93.7084,79.6147,96.0940,98.6147
gobletPNG,7.8662,4.9715,151.5121,79.4563,92.2766,96.3960
harvestPNG,15.2531,10.6957,142.0690,47.1644,75.7944,88.0175
pot1PNG,8.0883,5.2430,131.2565,75.9983,92.1138,97.2003
pot2PNG,7.8212,4.9884,143.6684,78.9160,92.8851,96.7572
readingPNG,12.5056,9.6390,101.4906,51.9165,83.3333,93.3680
Average,8.4050,5.9556,108.8220,75.0565,91.4460,96.2536
