    batch 60/500, loss=0.1112
    batch 70/500, loss=0.0753
    batch 80/500, loss=0.1054
    batch 90/500, loss=0.1052
    batch 100/500, loss=0.1085
    batch 110/500, loss=0.0969
    batch 120/500, loss=0.1170
    batch 130/500, loss=0.1250
    batch 140/500, loss=0.1328
    batch 150/500, loss=0.2217
    batch 160/500, loss=0.0825
    batch 170/500, loss=0.0715
    batch 180/500, loss=0.1113
    batch 190/500, loss=0.0720
    batch 200/500, loss=0.0720
    batch 210/500, loss=0.1717
    batch 220/500, loss=0.0828
    batch 230/500, loss=0.0743
    batch 240/500, loss=0.1279
    batch 250/500, loss=0.0985
    batch 260/500, loss=0.0792
    batch 270/500, loss=0.0864
    batch 280/500, loss=0.0982
    batch 290/500, loss=0.1235
    batch 300/500, loss=0.0657
    batch 310/500, loss=0.0952
    batch 320/500, loss=0.1259
    batch 330/500, loss=0.0799
    batch 340/500, loss=0.1343
    batch 350/500, loss=0.1162
    batch 360/500, loss=0.0819
    batch 370/500, loss=0.1033
    batch 380/500, loss=0.1503
    batch 390/500, loss=0.1221
    batch 400/500, loss=0.1080
    batch 410/500, loss=0.1106
    batch 420/500, loss=0.1071
    batch 430/500, loss=0.0991
    batch 440/500, loss=0.1462
    batch 450/500, loss=0.0955
    batch 460/500, loss=0.1193
    batch 470/500, loss=0.1566
    batch 480/500, loss=0.1889
    batch 490/500, loss=0.0815
    batch 500/500, loss=0.1006
Epoch 71/150 — loss=0.1267, lr=2.81e-03, time=318.7s
    batch 10/500, loss=0.0709
    batch 20/500, loss=0.0819
    batch 30/500, loss=0.0950
    batch 40/500, loss=0.0877
    batch 50/500, loss=0.1462
    batch 60/500, loss=0.0920
    batch 70/500, loss=0.0553
    batch 80/500, loss=0.1461
    batch 90/500, loss=0.0984
    batch 100/500, loss=0.1522
    batch 110/500, loss=0.1072
    batch 120/500, loss=0.1159
    batch 130/500, loss=0.1375
    batch 140/500, loss=0.1139
    batch 150/500, loss=0.0779
    batch 160/500, loss=0.1855
    batch 170/500, loss=0.1035
    batch 180/500, loss=0.0975
    batch 190/500, loss=0.0977
    batch 200/500, loss=0.1040
    batch 210/500, loss=0.0742
    batch 220/500, loss=0.0984
    batch 230/500, loss=0.1090
    batch 240/500, loss=0.0586
    batch 250/500, loss=0.1413
    batch 260/500, loss=0.1316
    batch 270/500, loss=0.1039
    batch 280/500, loss=0.1164
    batch 290/500, loss=0.0961
    batch 300/500, loss=0.1259
    batch 310/500, loss=0.0591
    batch 320/500, loss=0.1265
    batch 330/500, loss=0.5528
    batch 340/500, loss=0.1286
    batch 350/500, loss=0.0853
    batch 360/500, loss=0.0925
    batch 370/500, loss=0.4841
    batch 380/500, loss=0.0533
    batch 390/500, loss=0.0822
    batch 400/500, loss=0.0931
    batch 410/500, loss=0.0790
    batch 420/500, loss=0.2091
    batch 430/500, loss=0.0880
    batch 440/500, loss=0.1476
    batch 450/500, loss=0.1613
    batch 460/500, loss=0.0675
    batch 470/500, loss=0.0624
    batch 480/500, loss=0.1138
    batch 490/500, loss=0.1202
    batch 500/500, loss=0.0734
Epoch 72/150 — loss=0.1204, lr=2.78e-03, time=331.5s
    batch 10/500, loss=0.0949
    batch 20/500, loss=0.1194
    batch 30/500, loss=0.1225
    batch 40/500, loss=0.0624
    batch 50/500, loss=0.1037
    batch 60/500, loss=0.0569
    batch 70/500, loss=0.1003
    batch 80/500, loss=0.0760
    batch 90/500, loss=0.1247
    batch 100/500, loss=0.1265
    batch 110/500, loss=0.0921
    batch 120/500, loss=0.3423
    batch 130/500, loss=0.0992
    batch 140/500, loss=0.0885
    batch 150/500, loss=0.1413
    batch 160/500, loss=0.0947
    batch 170/500, loss=0.1259
    batch 180/500, loss=0.0906
    batch 190/500, loss=0.1103
    batch 200/500, loss=0.1594
    batch 210/500, loss=0.1338
    batch 220/500, loss=0.0958
    batch 230/500, loss=0.0809
    batch 240/500, loss=0.1154
    batch 250/500, loss=0.1862
    batch 260/500, loss=0.1390
    batch 270/500, loss=0.1257
    batch 280/500, loss=0.0909
    batch 290/500, loss=0.1089
    batch 300/500, loss=0.4379
    batch 310/500, loss=0.1298
    batch 320/500, loss=0.0638
    batch 330/500, loss=0.0988
    batch 340/500, loss=0.1263
    batch 350/500, loss=0.1700
    batch 360/500, loss=0.1135
    batch 370/500, loss=0.0918
    batch 380/500, loss=0.2680
    batch 390/500, loss=0.1387
    batch 400/500, loss=0.1615
    batch 410/500, loss=0.1213
    batch 420/500, loss=0.1221
    batch 430/500, loss=0.1014
    batch 440/500, loss=0.0598
    batch 450/500, loss=0.0917
    batch 460/500, loss=0.1254
    batch 470/500, loss=0.1582
    batch 480/500, loss=0.1235
    batch 490/500, loss=0.0893
    batch 500/500, loss=0.0940
Epoch 73/150 — loss=0.1194, lr=2.74e-03, time=320.5s
    batch 10/500, loss=0.0817
    batch 20/500, loss=0.1397
    batch 30/500, loss=0.1078
    batch 40/500, loss=0.0644
    batch 50/500, loss=0.1477
    batch 60/500, loss=0.0763
    batch 70/500, loss=0.1037
    batch 80/500, loss=0.0525
    batch 90/500, loss=0.1478
    batch 100/500, loss=0.1886
    batch 110/500, loss=0.1153
    batch 120/500, loss=0.1785
    batch 130/500, loss=0.1290
    batch 140/500, loss=0.1092
    batch 150/500, loss=0.1359
    batch 160/500, loss=0.0720
    batch 170/500, loss=0.1452
    batch 180/500, loss=0.1354
    batch 190/500, loss=0.0810
    batch 200/500, loss=0.1210
    batch 210/500, loss=0.0558
    batch 220/500, loss=0.1496
    batch 230/500, loss=0.1069
    batch 240/500, loss=0.0835
    batch 250/500, loss=0.1415
    batch 260/500, loss=0.0887
    batch 270/500, loss=0.1043
    batch 280/500, loss=0.1148
    batch 290/500, loss=0.1369
    batch 300/500, loss=0.1168
    batch 310/500, loss=0.0655
    batch 320/500, loss=0.1089
    batch 330/500, loss=0.1595
    batch 340/500, loss=0.0844
    batch 350/500, loss=0.0937
    batch 360/500, loss=0.1421
    batch 370/500, loss=0.1254
    batch 380/500, loss=0.1446
    batch 390/500, loss=0.0793
    batch 400/500, loss=0.1151
    batch 410/500, loss=0.1385
    batch 420/500, loss=0.0978
    batch 430/500, loss=0.1272
    batch 440/500, loss=0.0870
    batch 450/500, loss=0.1191
    batch 460/500, loss=0.0983
    batch 470/500, loss=0.1057
    batch 480/500, loss=0.1200
    batch 490/500, loss=0.0920
    batch 500/500, loss=0.0814
Epoch 74/150 — loss=0.1194, lr=2.71e-03, time=317.8s
    batch 10/500, loss=0.1110
    batch 20/500, loss=0.1626
    batch 30/500, loss=0.0963
    batch 40/500, loss=0.0826
    batch 50/500, loss=0.1228
    batch 60/500, loss=0.1483
    batch 70/500, loss=0.0999
    batch 80/500, loss=0.0964
    batch 90/500, loss=0.1332
    batch 100/500, loss=0.1120
    batch 110/500, loss=0.1081
    batch 120/500, loss=0.0994
    batch 130/500, loss=0.0655
    batch 140/500, loss=0.1385
    batch 150/500, loss=0.1348
    batch 160/500, loss=0.1582
    batch 170/500, loss=0.1828
    batch 180/500, loss=0.0707
    batch 190/500, loss=0.1100
    batch 200/500, loss=0.1735
    batch 210/500, loss=0.0999
    batch 220/500, loss=0.1182
    batch 230/500, loss=0.1040
    batch 240/500, loss=0.0600
    batch 250/500, loss=0.0985
    batch 260/500, loss=0.1066
    batch 270/500, loss=0.0725
    batch 280/500, loss=0.3651
    batch 290/500, loss=0.0843
    batch 300/500, loss=0.0910
    batch 310/500, loss=0.0981
    batch 320/500, loss=0.1664
    batch 330/500, loss=0.0715
    batch 340/500, loss=0.1386
    batch 350/500, loss=0.1038
    batch 360/500, loss=0.1538
    batch 370/500, loss=0.1463
    batch 380/500, loss=0.0790
