Object,Mean_Angular_Error,Median_Angular_Error,Max_Error,Pixels_under_10,Pixels_under_20,Pixels_under_30
ballPNG,2.8532,2.3155,13.9616,98.3788,100.0000,100.0000
bearPNG,3.7447,2.8723,80.3055,95.4086,99.2966,99.7928
buddhaPNG,10.3828,6.4185,136.5571,67.8829,87.0096,93.4402
catPNG,5.4264,4.1672,104.9923,89.1659,98.1637,99.4535
cowPNG,5.9415,4.6134,68.5452,87.6348,97.2976,99.0954
gobletPNG,6.4879,3.7932,143.4998,86.1108,93.8113,96.8923
harvestPNG,14.1905,9.6003,125.4713,51.9009,79.3833,89.3568
pot1PNG,7.4937,5.0571,126.8550,79.2571,93.6349,97.7305
pot2PNG,7.2751,4.6979,142.6460,81.3056,93.6107,97.1484
readingPNG,10.5778,7.9306,92.3131,61.1087,88.0162,95.7511
Average,7.4373,5.1466,103.5147,79.8154,93.0224,96.8661
