Object,Mean_Angular_Error,Median_Angular_Error,Max_Error,Pixels_under_10,Pixels_under_20,Pixels_under_30
ballPNG,3.3967,2.8156,17.0223,96.9160,100.0000,100.0000
bearPNG,4.5116,3.3467,97.9900,92.6648,98.2463,99.2556
buddhaPNG,12.5228,7.8973,115.6609,59.5466,81.7248,90.7387
catPNG,6.0884,4.6255,120.8395,85.2412,97.2389,99.3274
cowPNG,6.4074,4.7763,103.3575,84.9892,96.7072,98.7056
gobletPNG,7.6428,4.3019,150.1343,80.4261,91.6963,96.1593
harvestPNG,15.3925,10.6197,132.1326,47.3144,75.7490,87.8274
pot1PNG,8.1746,4.9359,136.9352,73.5625,91.3723,96.7741
pot2PNG,7.9197,4.6631,143.2221,79.0549,91.9525,95.8529
readingPNG,11.8898,9.0862,107.8007,54.8384,84.7075,94.5324
Average,8.3946,5.7068,112.5095,75.4554,90.9395,95.9174
