Object,Mean_Angular_Error,Median_Angular_Error,Max_Error,Pixels_under_10,Pixels_under_20,Pixels_under_30
ballPNG,16.1975,15.7931,41.7514,18.2002,73.8902,96.8590
bearPNG,13.5962,11.2561,98.9210,44.7557,79.6300,92.8286
buddhaPNG,30.7482,24.6811,134.5731,14.6220,39.8293,59.0986
catPNG,22.3231,19.7031,108.8809,14.3872,51.0951,78.2942
cowPNG,18.1774,15.1377,109.3609,28.0648,65.4858,84.3798
gobletPNG,24.1882,19.5351,123.0542,19.4021,51.0671,70.8854
harvestPNG,33.1150,27.3545,132.0224,13.2468,34.6605,54.7365
pot1PNG,25.6290,20.4500,121.2120,17.5638,48.7483,68.8502
pot2PNG,24.0456,18.1852,125.9355,21.4241,54.7168,70.5000
readingPNG,34.2728,29.4093,118.2956,5.8039,25.8624,51.5152
Average,24.2293,20.1505,111.4007,19.7471,52.4985,72.7947
