Object,Mean_Angular_Error,Median_Angular_Error,Max_Error,Pixels_under_10,Pixels_under_20,Pixels_under_30
ballPNG,37.2174,36.3148,75.3115,4.8255,21.4996,39.1805
bearPNG,44.2151,41.7465,119.0567,2.3969,12.0905,29.1289
buddhaPNG,44.3754,43.0016,124.7758,2.5856,10.4627,24.6657
catPNG,40.9990,39.9367,117.0875,4.0022,14.8075,32.9624
cowPNG,31.9711,29.2590,110.4830,3.4745,26.2140,51.6218
gobletPNG,45.3055,42.9644,122.1626,2.1456,9.7125,23.7735
harvestPNG,41.5433,39.0944,127.8005,4.7051,17.5857,34.1600
pot1PNG,44.6640,43.9887,123.4663,3.9760,13.7454,28.0453
pot2PNG,44.4664,41.0513,117.7953,2.1175,8.0362,24.1028
readingPNG,41.1074,42.0546,120.3098,3.1316,13.6653,28.5384
Average,41.5865,39.9412,115.8249,3.3361,14.7819,31.6179
