Object,Mean_Angular_Error,Median_Angular_Error,Max_Error,Pixels_under_10,Pixels_under_20,Pixels_under_30
ballPNG,4.7286,4.2011,29.4229,94.6868,99.5187,100.0000
bearPNG,6.9658,5.2710,135.1783,81.4608,95.9385,98.9931
buddhaPNG,15.4483,11.2587,157.5089,45.0584,74.7013,87.4866
catPNG,10.1774,8.3715,80.6320,60.4226,90.6195,97.5088
cowPNG,7.5437,6.0018,86.6760,78.4679,95.6550,98.6980
gobletPNG,9.9238,6.7908,137.6060,67.5791,89.4017,94.9872
harvestPNG,16.5186,11.5186,126.2450,43.7027,72.9082,85.2708
pot1PNG,12.0800,8.5641,141.5552,58.7966,85.2549,93.4634
pot2PNG,9.5915,6.4077,123.3733,68.1586,90.0420,95.4504
readingPNG,13.1425,10.4036,88.5798,47.7616,83.0766,92.9233
Average,10.6120,7.8789,110.6777,64.6095,87.7116,94.4782
